авангард1|"передовая часть"|vanguard/avant-guarde
растапливание1|напр.печки|kindling
растапливание2|напр.масла|melting
растапливать1|напр.печку|to kindle
растапливать2|напр.масло|to melt
раствор1|напр.в жидкости|solution
раствор2|"прогал"|opening
растворить1|"развести"|to dissolve
растворить2|"открыть"|to open
раствориться1|"исчезнуть"|to vanish
раствориться2|"открыться"|to open
растворять1|"разводить"|to dissolve
растворять2|"открывать"|to open
растворяться1|"исчезать"|to vanish
растворяться2|"открываться"|to open
растопить1|печку|to kindle
растопить2|напр.масло|to melt
расточить1|"истратить"|to waste
расточить2|"выточить"|to bore
растрепать1|"всклокочить"|to dishevel/tousle
растрепать2|"выболтать"|to babble/outbabble
растяжка1|на теле/в воздухе|stretching
растяжка2|на экране|screen window
растяжки1|на теле/в воздухе|stretchings
растяжки2|на экране|screen windows
расходиться1|"разделяться/распространяться"|to separate/disperse
расходиться2|"начать ходить"|to start/begin pacing
расчесать1|волосы|to comb
расчесать2|напр.руку|to scratch
расчесывать1|волосы|to comb
расчесывать2|напр.руку|to scratch
расчет1|"надежда"|reckoning
расчет2|"подразделение"|crew
расчет3|"подсчет"|calculation
расчетный1|напр.счет|accounts
расчетный2|"вычислительный"|calculation/computing
расчетный3|"проектный"|designed/rated
расчеты1|"подсчеты"|reckoning
расчеты2|"подразделения"|crews
рвать1|напр.одежду|to tear up
рвать2|"тошнить"|to vomit
рваться1|об одежде/снаряде|to tear/explode
рваться2|"стремиться"|to strive at
реакции1|"ответные действия"|reverse actions
реакции2|химические|chem.reactions
реакция1|"ответное действие"|reverse action
реакция2|политическая|reaction in polit.
реакция3|химическая|reaction in chem.
реализация1|"осуществление"|realization/implemention
реализация2|"продажа"|sale
реализовать1|"осуществлять"|to realize/implement
реализовать2|"продавать"|to sell
реализоваться1|"осуществляться"|to be realized/implemented
реализоваться2|"продаваться"|to be sold
ребра1|"кости"|ribs
ребра2|"боковины"|edges
ребра3|"соедин.элементы"|verges
ребро1|"кость"|rib
ребро2|"боковина"|edge
ребро3|"соедин.элемент"|verge
регистр1|"вариант функционирования"|register/mode
регистр2|"хранилище данных"|registered data
регистратор1|"человек"|receptionist
регистратор2|"устройство"|recorder
регистрировать1|человеком|to reсeive
регистрировать2|автоматом|to register
редактор1|"лицо"|editor/proofreader
редактор2|"программа"|soft text editor
редакция1|"персонал/учреждение"|editorial board
редакция2|"редактирование"|editorship/proofreading
редакция3|"результат"|version
редкий1|"разреженный"|thin/sparse
редкий2|"необычный"|rare/unusual
режим1|правления|regime
режим2|работы|routine/mode
режимы1|правления|regimes
режимы2|работы|routines/modes
резидент1|"постоян.житель"|permanent resident
резидент2|"разведчик"|secret agent
резиденты1|"постоян.жители"|permanent residents
резиденты2|"разведчики"|secret agents
резина1|"вещество"|rubber
резина2|"автопокрышки"|tires
резкий1|"внезапный/быстрый"|sharp
резкий2|"суровый/грубый"|harsh
резкий3|"отчетливый/сильный"|strong
рейд1|корабельный|road
рейд2|"поход"|raid
репа1|"овощ"|turnip
репа2|"голова"|head
реплика1|"возражение"|cue/catchword
реплика2|"дубликат"|replica
репродукция1|"воспроизведение"|image reproduction
репродукция2|"размножение"|sexual reproduction
речь1|"обращение"|speech
речь2|"говор/стиль речи"|enunciation/style of speaking
решающий1|"определяющий"|decisive/deciding
решающий2|"считающий/счетный"|calculating
решение1|суда/директора|decision/judgement
решение2|задачи|solution/answer
решение3|"продукт"|decision as product
решения1|суда/директора|decisions/judgements
решения2|задачи|solutions/answers
решения3|"продукты"|decisions as products
решетка1|"ограда/решетч.полка"|grating/rack
решетка2|"матструктура"|lattice
решетка3|"тюрьма"|prison
риски1|"угрозы"|risks
риски2|"отметки"|marks
ритм1|музыкальный|rhythm/tempo
ритм2|"цикл.процесс/биение/пульс"|cyclic process/beat/pulse
РЛС1|"радар"|radar
РЛС2|"радары"|radars
род1|"разновидность"|genus/sort
род2|"поколения родни"|family/generation
род3|грамматический|gender
родовой1|"относящийся к роду"|generic/family
родовой2|"относящийся к родам"|birth
роды1|"разновидности"|genera/sorts
роды2|ребенка|childbirth
роды3|грамматич.|genders
рожа1|"лицо"|mug
рожа2|"болезнь"|erysipelas
рожки1|"бакалейный товар"|sort of noodles as grocery
рожки2|"гарнир"|sort of noodles as garnish
рожки3|"рога"|small horns
розетка1|электрическая|electric outlet
розетка2|чайная|jam-dish
розетка3|архитектурная|rose window
розетка4|на одежде|rosette
рок1|"судьба"|fate
рок2|"музыка"|rock
ролик1|"запись"|roll/trailer
ролик2|"колесико"|roller
ролики1|"записи"|rolls/trailers
ролики2|"колесики"|rollers
роман1|"книга"|novel
роман2|"любовь"|romance
рост1|"увеличение"|growth
рост2|"высота"|height
рубашка1|"сорочка"|shirt
рубашка2|"прием техобработки"|jacket
рубец1|"шрам"|scar
рубец2|"блюдо"|tripe
рубка1|"вырубание"|felling
рубка2|у подлодки|deck house
рука1|"конечность"|hand/arm
рука2|"почерк"|handwriting
рука3|"влиятельная сила"|hand/strength
рукав1|одежды|sleeve
рукав2|реки/аэропорта|branch/pass
рукав3|"шланг"|hose
рукава1|одежды|sleeves
рукава2|реки/аэропорта|branches/passes
руководство1|"лидерство"|leadership
руководство2|"руководители"|leaders
руководство3|"свод рекомендаций"|manual
рулетка1|"азартная игра"|roulette
рулетка2|"мерит.лента"|tape-measure
рупор1|"мегафон"|megaphone
рупор2|"глашатай"|mouthpiece
русская1|"женщина"|Russian woman
русская2|"пляска"|Russian dance
русский1|человек|Russian man
русский2|язык|Russian language
ручка1|"рукоятка"|handle
ручка2|для письма|pen
ручка3|"маленькая рука"|small hand
ручки1|"рукоятки"|handles
ручки2|для письма|pens
ручки3|"маленькие руки"|small hands
РФФИ1|"Рос.фонд федер.имущества"|Russian Foundation of Federal Property
РФФИ2|"Рос.фонд фунд.исследований"|Russian Foundation of Fundamental Research
рыба1|"животное"|fish as animal
рыба2|"пища"|fish as food
рыба3|"набросок"|scratch
рынки1|"сферы товарооборота"|markets
рынки2|"торговые площадки"|market places
рынок1|"сфера товарооборота"|market
рынок2|"торговая площадка"|market place
рысь1|"животное"|lynx
рысь2|лошадиная|trot
рычаг1|"средство"|means
рычаг2|механический|lever
рычаги1|"средства"|means
рычаги2|механические|levers
ряд1|"набор"|row/set
ряд2|в типологии/математике/музыке|series
ряды1|"совокупности"|rows/sets
ряды2|в типологии/математике/музыке|series
сад1|фруктовый|orchard
сад2|детский|kindergarten
садиться1|"усаживаться"|to sit down
садиться2|о самолете/птице/солнце|to land/settle/set
садиться3|в самолет/машину|to board/take
садиться4|в тюрьму|to go to prison
садиться5|за компьютер/на диету|to go to/go on
садиться6|"давать усадку/облегать"|to shrink/fit
сады1|фруктовые|orchards
сады2|детские|kindergartens
сажать1|самолет|to land
сажать2|растение|to plant
сажать3|в тюрьму|to imprison
сажать4|гостя/пассажиров|to seat/board
салат1|"кушанье"|salad
салат2|"растение"|lettuce
салатный1|"относящийся к салату"|salad/lettuce
салатный2|по цвету|light green
салон1|"помещение"|section
салон2|"ателье/гостинная"|parlor/salon
салон3|"выставка"|show
салоны1|"помещения"|sections
салоны2|"ателье"|parlors/salons
салоны3|"выставки"|shows
сальный1|"жирный"|tallow/greasy
сальный2|"непристойный"|obscene
сап1|"сопение"|puffing
сап2|"болезнь"|glanders
сателлит1|"спутник"|satellite
сателлит2|"союзник"|ally
сателлиты1|"спутники"|satellites
сателлиты2|"союзники"|allies
сачки1|для ловли|nets
сачки2|"бездельники"|loafers
сачок1|для ловли|net
сачок2|"бездельник"|loafer
сбегать1|"спускаться"|to come down running
сбегать2|за кем/чем-нибудь|to run to fetch
сбитый1|вместе/как сливки|knocked together/whipped
сбитый2|с ног/с толка/сношенный|knocked/worn down/distract
сбиться1|"ошибиться"|to go wrong
сбиться2|в кучу/на бок|to bunch
сбиться3|"износиться"|to become worn down
сбор1|"собирание"|acquisition/collecting
сбор2|"налог"|tax/duty
сбор3|"встреча"|assembly/gathering
сбор4|лекарственный|сollection of medicinal herbs
сборка1|"действие"|assembling
сборка2|напр.в реакторе|assembly
сборки1|на платье|gathers
сборки2|напр.в реакторе|assemblies
сборы1|"приготовления"|preparations
сборы2|"налоги"|taxes/dues
сборы3|напр.спортивные|periodical training
свалить1|"повергнуть/опрокинуть"|to cut/bring down
свалить2|"завалить/погубить"|to flunk/bring down
свалить3|"возложить вину"|to blame on
свалить4|"поехать/пойти"|to go
свалка1|мусора|rubbish dump
свалка2|"драка"|scrumble/scrimmage
свалки1|мусора|rubbish dumps
свалки2|"драки"|scrumbles/scrimmages
сварить1|"приготовить"|to boil/cook
сварить2|"спаять"|to weld
сведение1|"соединение"|bringing together
сведение2|"редукция"|reduction
сведение3|"информация"|information
свести1|напр.в школу|to take
свести2|"удалить"|to remove/take away
свести3|"собрать"|to put together
свести4|"редуцировать"|to reduce
свести5|"обвести"|to trace
свести6|"низвести"|to take down
свет1|"лучи"|light
свет2|"мир"|world
свет3|"общество"|society
свинка1|"свинья"|pig
свинка2|"болезнь"|mumps
свиснуть1|"просвистеть"|to give a whistle
свиснуть2|"повиснуть"|to hang
свиснуть3|"украсть"|to steal
свободный1|"не занятый/без помех"|free/easy/vacant
свободный2|"не облегающий"|loose-fitting
свободный3|"независимый"|free/independent
свободный4|"неограниченный"|free/unrestricted
свод1|"собрание"|code
свод2|"арка"|arch/vault
сводить1|напр.в школу|to take
сводить2|"удалять"|to remove/take away
сводить3|"собирать"|to put together
сводить4|"редуцировать/втискивать"|to reduce/go into
сводить5|"обводить"|to trace
сводить6|"низводить"|to take down
сводка1|"информация"|summary report
сводка2|"уничтожение"|removal
своды1|"собрания текстов"|codes
своды2|"арки"|arches/vaults
связанный1|"соединенный"|linked/tied
связанный2|"касающийся"|related/associated
связанный3|спицами/крючком|knitted/crocheted
связи1|"взаимосвязи/знакомства"|ties
связи2|родственные/половые|relations/liaisons
связка1|"вязанка"|bunch/bundle
связка2|"копула"|copula
связка3|в теле|ligament
связки1|"вязанки"|bunches/bundles
связки2|"копулы"|copulas
связки3|в теле|ligaments
связь1|"взаимосвязанность"|connection
связь2|техническая|communication
связь3|человеческая|liaison/intercourse
сдать1|напр.экзамен|to pass
сдать2|напр.дела|to hand over
сдать3|напр.квартиру|to lease
сдать4|"ухудшиться"|to give out
сдача1|напр.экзамена|passing
сдача2|багажа|handling over
сдача3|в плен/в наем|surrender/leasing
сдача4|денежная|change
север1|"сторона света"|north
север2|"территория"|the North
северо-восток1|"сторона света"|northeast
северо-восток2|"территория"|the Northeast
северо-запад1|"сторона света"|northwest
северо-запад2|"территория"|the Northwest
секрет1|"тайна"|secret
секрет2|"выделение"|secretion
секрет3|"дозор"|patrol
сектор1|"подразделение"|department
сектор2|"часть отрасли"|sector
сектор3|"участок территории"|strip
сектора1|"подразделения"|departments
сектора2|"части отраслей"|sectors
сектора3|"участки территории"|stips
секунда1|"единица времени"|second of time
секунда2|"муз.интервал"|second in gamma
секунда3|угловая|angular second 
сердечник1|"техдеталь"|core
сердечник2|"больной"|sufferer from heart desease
сердечники1|"техдетали"|cores
сердечники2|"больные"|sufferers from heart desease
сердечный1|"добросердечный"|cordial/heartfelt
сердечный2|"кордиальный"|cadriac
сердце1|"орган чувств"|heart as feelings
сердце2|"кровообращение"|heart as an organ
серый1|"серого цвета"|grey
серый2|"недалекий/невзрачный"|dull
серый3|"неофициальный"|unofficial
серьезно1|"без шуток"|seriously
серьезно2|"значительно"|considerably
серьезный1|"нешуточный"|serious
серьезный2|"значительный"|considerable
сессия1|"заседание/сеанс"|session
сессия2|"экзамены"|exams
сестра1|"родственница"|sister
сестра2|медицинская|nurse
сестры1|"родственницы"|sisters
сестры2|медицинские|nurses
сесть1|"усесться"|to sit down
сесть2|о самолете/птице/солнце|to land/settle/set
сесть3|в самолет/машину|to board/take
сесть4|в тюрьму|to go to prison
сесть5|за компьютер/на диету|to go to/on
сесть6|"дать усадку/разрядиться"|to shrink/run out
сети1|напр.связные|networks
сети2|напр.рыболовные|nets
сетка1|"сеть"|net
сетка2|"расписание"|time-table
сетка3|"сетчатая сумка"|string bag
сеть1|"совокупность"|network
сеть2|напр.рыболовная|net
сжатый1|"стиснутый"|pressed/squeezed
сжатый2|об урожае|reaped
сжать1|"стиснуть"|to press/squeeze
сжать2|"снять урожай"|to reap/cut
сидеть1|напр.на стуле|to sit
сидеть2|об одежде|to fit
сидеть3|"находиться"|to be
сидеть4|в тюрьме/окружении|to be concluded
сила1|моральн./политич.|power/validity
сила2|физическая|force/strength
силовой1|"мощностной"|power
силовой2|"силовиковый"|law enforcement
силы1|"энергия"|ability
силы2|общественные/военные|forces
Сильвестр1|"фамилия"|Sylvester as a last name
Сильвестр2|"мужское имя"|Sylvester as a personal name
Сингапур1|"страна"|Singapore as country
Сингапур2|"город"|Singapore as city
синкопа1|"смещение муз.ударения"|offbeat/syncopation
синкопа2|"обморок"|fainting/syncopе
система1|техническая|technical system
система2|общественная/политическая|political system
система3|"концепция"|conception
система4|в организме|system in organism
системы1|технические|technical systems
системы2|обществ./политич.|political systems
системы3|"концепции"|conceptions
системы4|в организме|systems in organism
скат1|"покатость"|slope
скат2|"животное"|skate
скат3|"автомоб.шина"|tire
скачки1|напр.температуры|jumps/leaps
скачки2|лошадей|horse-race
склад1|"хранилище"|store
склад2|напр.мышления|way
склонение1|"уговаривание/наклон"|coaxing/inclination
склонение2|имен|declension
склонять1|"уговаривать"|to coax/incline
склонять2|"наклонять"|to bend
склонять3|по падежам|to decline
склоняться1|"предпочитать"|to yield
склоняться2|"наклоняться"|to bend
склоняться3|по падежам|to be declined
скобки1|на письме|brackets/parentheses
скобки2|"скрепки"|clips
скот1|"животные"|catle
скот2|"наглый мужик"|beast/brute
скотина1|"животные"|catle
скотина2|"наглый мужик"|beast/brute
сланцы1|"горные породы"|shales
сланцы2|"тапки"|flip flops
следование1|"движение (вслед)"|movement
следование2|логическое|consequence
следовать1|"двигаться (вслед)"|to follow
следовать2|"вытекать"|to be implied
следствие1|"результат"|consequence
следствие2|"дознание"|investigation
следующий1|по счету|next/following
следующий2|"едущий/идущий"|going/bound for
следующий3|"вытекающий/соответствующий"|sequent/corresponding
слепить1|"соединить"|to stick together
слепить2|"ослеплять"|to blind
слив1|"сливание"|discharge
слив2|"техдеталь"|drain
слив3|"компрометация"|scandaling
слива1|"ягода"|plum
слива2|"дерево"|plum-tree
сливать1|"выливать"|to discharge
сливать2|"объединять"|to merge
сливать3|"снижать статус"|to demote/lower the status
сливка1|"ягода"|little plum
сливка2|"сливание"|pouring out
сливки1|"ягоды"|little plums
сливки2|"пенка/элита"|cream/elite
сливы1|"ягоды"|plums
сливы2|"деревья"|plum-trees
сливы3|"техустройства"|discharges
слинять1|"потерять окрас"|to fade/molt
слинять2|"убежать"|to slip away
слить1|"вылить"|to discharge
слить2|"объединить"|to merge
слить3|"выдать компромат"|to scandal/debunk
слово1|из речи|word
слово2|"речь"|speech
слово3|"обещание"|promise
слог1|"стиль"|style
слог2|в слове|syllable
сложение1|"операция"|addition
сложение2|"внешность"|build
сложение3|полномочий|resigning
сложенный1|"положенный/свернутый/созданный/прибавленный"|put/piled/folded/composed/added
сложенный2|"имеющий фигуру"|build
сложный1|"трудный"|difficult
сложный2|"многосоставной"|compound
слои1|"соц.прослойки"|strata
слои2|"покрытия"|layers
слой1|"соц.прослойка"|stratum
слой2|"покрытие"|layer
служба1|"сервис"|service
служба2|"работа"|job
служба3|церковная|church service
службы1|"виды сервиса"|services
службы2|церковные|church services
слух1|"молва"|rumor
слух2|"чувство"|hearing
смена1|"изменение"|changing
смена2|на заводе/в школе|shift
смена3|"последователи"|successors
сместить1|"сдвинуть"|to displace
сместить2|с поста|to dismiss
смешаться1|"перемешаться"|to mingle
смешаться2|"сконфузиться"|to became confused
смешение1|"перемешивание"|mixting
смешение2|"путаница"|confusion
смещать1|"сдвигать"|to displace
смещать2|с поста|to dismiss
смещение1|"сдвиг"|displacement
смещение2|с поста|dismissal
снаряд1|артиллерийский|shell/missile
снаряд2|спортивный|gymnastic apparatus
снаряд3|"техустройство"|machine
снаряды1|артиллерийские|shells/missiles
снаряды2|спортивные|gymnastic apparatus
снаряды3|"техустройства"|machines
снежок1|"комок снега"|snowball
снежок2|"легкий снег"|light snow
снести1|"выдержать"|to endure
снести2|напр.вниз|to carry down/away
снести3|"разрушить"|to demolish
снимать1|напр.одежду|to take off
снимать2|"отменять/увольнять"|to remove
снимать3|"фотографировать"|to photograph
снимать4|"арендовать"|to rent
снос1|домов/насаждений:|demolishion
снос2|корабля|drift
сносить1|"терпеть"|to endure
сносить2|напр.вниз|to carry down/away
сносить3|"разрушать"|to demolish
сносить4|одежду|to wear out
сноситься1|"износиться"|to be worn our
сноситься2|между собой|to communicate
сноситься3|"разрушаться"|to be demolished
снятие1|одежды/арматуры|taking off
снятие2|с должности|removal/dismissal
снятие3|жилья|renting
снятый1|напр.одежда|taken off
снятый2|с должности/производства|dismissed/removed/cancelled
снятый3|"сфотографированный"|photographed
снятый4|"арендованный"|rented
снять1|напр.одежду|to take off
снять2|с должности/производства|to dismiss/remove
снять3|"сфотографировать"|to photograph
снять4|"арендовать"|to rent
со1|"начиная с"|from/off
со2|"вместе с"|with
собачка1|"животное"|doggie
собачка2|"часть замка"|trigger
собор1|"храм"|cathedral
собор2|людской|council/assembly
собрание1|людей|meeting/gathering
собрание2|напр.книг|collection
собрания1|людей|meetings/gatherings
собрания2|напр.книг|collections
собранный1|"подтянутый"|self-disciplined
собранный2|"соединенный"|gathered
собраться1|вместе|to gather
собраться2|с cилами/мыслями|to collect
собраться3|"приготовиться"|to make ready
совершенный1|"высококачественный/абсолютный"|perfect/absolute
совершенный2|"выполненный"|performed
совершенный3|вид глагола|perfective
совет1|"организация"|council
совет2|"рекомендация"|advice
советы1|"организация"|councils/soviets
советы2|"рекомендации"|advices
совки1|"инструменты"|shovels
совки2|"обыватели"|persons with Soviet mentality
совок1|"инструмент"|shovel
совок2|"сов.обыватель"|person with Soviet mentality
совок3|"СССР"|USSR
согласный1|"согласившийся/гармоничный"|agreeable/concordant
согласный2|звук|сonsonant
содержание1|"содержимое"|contents
содержание2|"мат.поддержка"|allowance
содержание3|арестованных/скота|custody
содержать1|"включать"|to contain
содержать2|"иметь на попечении"|to support
содержаться1|"иметься"|to be contained
содержаться2|"находиться на попечении"|to be kept
содержащий1|"включающий"|containing
содержащий2|"обеспечивающий"|supporting
соединение1|"связка"|connection
соединение2|химическое|compound
соединение3|военное|milit.formation
соединения1|"связки"|connections
соединения2|химические|compounds
соединения3|военные|milit.formations
создание1|"творчество"|creation
создание2|"существо"|creature
сократить1|"укоротить/уменьшить"|to shorten/diminish
сократить2|"уволить"|to dismiss
сокращать1|"укорачивать/уменьшать"|to shorten/diminish
сокращать2|"увольнять"|to dismiss
сокращение1|"укорочение/аббревиатура"|contraction/abbreviation
сокращение2|"уменьшение"|reductions/cutting down
сокращения1|"укорочения/аббревиатуры"|contractions/abbreviations
сокращения2|"уменьшения"|reductions
сокращенный1|"уменьшенный"|reduced
сокращенный2|"уволенный"|dismissed
соленый1|"содержащий соль"|salt
соленый2|"скабрезный"|spicy
Соломон1|"царь"|King Solomon
Соломон2|"мужское имя"|Solomon
соль1|"химсоединение"|salt
соль2|"смысл"|point
соль3|"нота"|G sharp
сон1|"состояние"|sleep
сон2|"сновидение"|dream
сообщаться1|"говориться"|to be reported
сообщаться2|"соединяться/передаваться"|to communicate/pass
сообщение1|"сведения"|report/information
сообщение2|"связь"|communication
сооружение1|"результат"|structure
сооружение2|"процесс"|building
сопрано1|"голос"|soprano
сопрано2|"певица"|soprano singer
сопротивление1|"противодействие"|resistance
сопротивление2|"резист/резистор"|resistor
сорвать1|напр.визит|to ruin/break/wreck
сорвать2|цветок/крышу/маску...|to tear off/away
сорвать3|злость|to vent upon
сорваться1|"освободиться"|to break away
сорваться2|"упасть"|to come down
сорваться3|"не удаться"|to fail
состав1|людей|staff
состав2|напр.веществ|composition/structure
состав3|"поезд"|train
составить1|"явить собой/насчитывать"|to constitute
составить2|"скомпоновать"|to compose
составлять1|"являть собой/насчитывать"|to constitute
составлять2|"компоновать"|to compose
составляющий1|"насчитывающий"|constituting
составляющий2|"компонующий"|composing
составы1|людей|staffs
составы2|напр.веществ|compositions
составы3|"поезда"|trains
состояние1|объекта|state/status
состояние2|"собственность"|fortune
состояния1|объектов|states/status
состояния2|"собственность"|fortunes
состоятельный1|"обеспеченный"|well-to-do
состоятельный2|"обоснованный"|well grounded
состоять1|из чего-то|to consist of
состоять2|в чем-то|to be in
сосуд1|хозяйственный|household vessel
сосуд2|кровеносный|blood vessel
сосуды1|хозяйственные|household vessels
сосуды2|кровеносные|blood vessels
сотня1|напр.казаков|company
сотня2|напр.рублей|a hundred
социалка1|"соцсеть"|social network
социалка2|"соцпомощь"|social assistance
социалка3|"карта соцпомощи"|welfare card
союз1|"объединение"|union/alliance
союз2|грамматич.|conjuction
союзный1|"входящий в союз"|allied
союзный2|грамматич.|conjuction
союзы1|"объединения"|unions/alliances
союзы2|грамматич.|conjuctions
спавший1|"находившийся во сне"|sleeping
спавший2|"опавший"|loosing
спаивание1|напр.водкой|accustoming to drinking
спаивание2|"спайка"|soldering
спаивать1|напр.водкой|accustom to drinking
спаивать2|"соединять пайкой"|solder
спаривать1|"соединять в пары"|to couple
спаривать2|"случать"|to mate
спарить1|"соединить"|to couple
спарить2|"случить"|to mate
спекулятивный1|"коммерческий"|profiteering
спекулятивный2|"умозрительный"|speculative
спекуляции1|коммерческие|profiteerings
спекуляции2|умозрительные|speculations
спекуляция1|коммерческая|profiteering
спекуляция2|умозрительная|speculation
спеть1|"зреть"|to ripen
спеть2|"пропеть"|to sing
спинка1|напр.кресла/пиджака|back/backrest
спинка2|напр.ребенка|small back
спины1|"задние части"|backs
спины2|у частиц|spins
списанный1|"скопированный"|copied/copy-pasted
списанный2|"снятый с учета"|written off
списать1|"скопировать"|to copy
списать2|"снять с учета"|to write off
спитой1|"пропитой"|weak
спитой2|"пользованый"|used
сплав1|разных металлов|alloy
сплав2|леса|floating
спланировать1|"запланировать"|to make plans
спланировать2|"плавно опуститься"|to glide down
споры1|"дискуссии"|discussions
споры2|у растений|spores
способный1|"талантливый"|talented/clever
способный2|"могущий"|capable
справиться1|"осведомиться"|to inquire
справиться2|"управиться"|to cope with
справляться1|"осведомляться"|to inquire
справляться2|"управляться"|to cope with
спутник1|"человек"|companion
спутник2|напр.Земли|satellite
спутники1|"люди"|companions
спутники2|напр.Земли|satellites
сравнивать1|"делать сравнение"|to compare
сравнивать2|"уравнивать"|to level/equalize
среда1|физическая|environment
среда2|общественная|milieu
среда3|"день недели"|Wednesday
средства1|"орудия"|tools
средства2|материальные|means
средства3|медицинские|remedies
средство1|"орудие"|instrument
средство2|"лекарство"|remedy
срез1|"сечение"|cut
срез2|"профиль"|profile
срезать1|"срезАть"|to cut (imperf)
срезать2|"срEзать"|to cut (perf)
срочный1|"немедленный"|urgent
срочный2|"с установл.сроком"|fixed-term
срывать1|напр.визит|to ruin/break/wreck
срывать2|цветок/крышу/маску...|to tear away/off
срывать3|злость|to vent upon
срывать4|неровности|to raze
ссылка1|"отсылка"|reference
ссылка2|"изгнание"|exile
ссыпать1|"ссЫпать"|to pour/bulk (perf)
ссыпать2|"ссыпАть"|to pour/bulk (imper)
ставка1|"зарплата"|salary
ставка2|в бизнесе/игре...|stake/rate
ставка3|очная|confrontation
ставка4|"штаб-квартира"|headquarters
стан1|"торс"|torso
стан2|"место стоянки"|camp
стан3|производственный|mill
старик1|"старый мужчина"|old man
старик2|"друг"|old fellow
старина1|"старые времена"|olden times
старина2|"друг"|old fellow
старица1|"старая монахиня"|elderly nun
старица2|"староречье"|old bed
старший1|по положению|senior
старший2|по возрасту|elder
старый1|"древний"|old
старый2|"прежний"|former
статистика1|"наука"|statistics
статистика2|"статданные"|statistical data
статьи1|напр.в газете|articles
статьи2|"разделы"|items
статья1|напр.в газете|article
статья2|"раздел"|item
ствол1|дерева|trunk
ствол2|ружейный|barrel
ствол3|"единица стрелк.оружия"|gun
ствол4|шахты|shaft
ствол5|в теле|trunk
стволы1|деревьев|trunks
стволы2|ружейные|barrels
стволы3|"единицы стрелк.оружия"|guns
стволы4|шахт|shafts
стекло1|"материал"|glass as material
стекло2|напр.в окне|window-pane
стекло3|"собират."|glassware
стенка1|"стена"|wall
стенка2|"набор полок"|wall unit
стенки1|"стены"|walls
стенки2|"наборы полок"|wall units
степени1|ученые|academic degrees
степени2|"меры"|extents
степени3|"показатели"|powers
степень1|ученая|academic degree
степень2|"мера"|extent
степень3|"показатель"|power
стерилизация1|"очищение"|sterilization
стерилизация2|"обеспложивание"|infertilization
стерильный1|"чистый"|germ-free
стерильный2|"бесплодный"|infertile
стирать1|белье|to wash
стирать2|"вытирать"|to wipe
стойка1|в баре|counter/bar
стойка2|у боксера|stance/foot
стойка3|"опора/стенд"|rack/stand/pillar
сток1|"запас стекшей жидкости"|drain
сток2|"запас непроданных товаров"|stock
стоки1|"запасы стекшей жидкости"|drains
стоки2|"запасы непроданных товаров"|stocks
стол1|"предмет обстановки"|table
стол2|"заведение"|department
стол3|"пища"|cuisine
стол4|"опорн.техустройство"|support
столовая1|"общепит"|canteen/cafeteria
столовая2|"комната"|dining-room
стопа1|ноги|foot
стопа2|напр.бумаги|pile
стопа3|стихотворная|measure
стопка1|"кипа"|pile/heap
стопка2|"стаканчик"|small glass
стопки1|"кипы"|piles/heaps
стопки2|"стаканчики"|small glasses
сторона1|предмета|side/aspect
сторона2|в политике/спорте|land/part/party
стороны1|предмета|sides/aspects
стороны2|в политике/спорте|lands/parts/parties
стоящий1|"находящийся"|standing
стоящий2|"достойный"|deserving/worthy
страдательный1|"страдальческий"|full of suffering
страдательный2|"пассивный"|passive
страшный1|"пугающий"|terrible/bad
страшный2|"крайний/отъявленный"|strong/dreadful
стрела1|из лука|arrow
стрела2|крана/прогиба|arm
стрелка1|на бумаге|arrow/pointer
стрелка2|у часов|hand
стрелка3|"встреча"|meeting
стрелки1|на бумаге|arrows/pointers
стрелки2|у часов|hands
стрелки3|"встречи"|meetings
стрелки4|"бойцы"|riflemen
строгий1|"требовательный"|strict
строгий2|"безукоризненный"|regular/impeccable
строевой1|"годный для стройки"|fit for building
строевой2|"годный для службы"|combatant
строение1|"здание"|building
строение2|"структура"|structure
строй1|"рабочее состояние"|order
строй2|"гос.порядок"|system
строй3|"шеренга"|formation
строчка1|"строка"|line
строчка2|"шов"|stitch
структура1|"схема"|structure
структура2|"организация"|organization
структуры1|"схемы"|structures
структуры2|"организации"|organizations
стукнуть1|"ударить"|to bang
стукнуть2|"донести"|to denounce
стукнуть3|"исполниться"|to occur
стул1|"сиденье"|chair
стул2|"кал"|stool
ступени1|"этапы"|stages
ступени2|лестницы|steps
ступени3|музыкальные|scale degrees/fret levels
ступень1|"этап"|stage
ступень2|лестницы|step
ступень3|музыкальная|scale degree/fret level
стучать1|"ударять"|to knock
стучать2|"доносить"|to report
субъект1|"организация/регион"|subject
субъект2|"человек"|character/person
субъекты1|"организации/регионы"|subjects
субъекты2|"типчики"|characters
суда1|"водн.корабли"|vessels
суда2|"возд.корабли"|aircrafts
судить1|"выносить суждение"|to form an opinion
судить2|"вести суд"|to try/judge
судно1|"корабль"|ship
судно2|"сосуд"|vessel
судьи1|"юристы"|judges
судьи2|спортивные|referees
судья1|"юрист"|judge
судья2|спортивный|referee
сука1|"самка собаки"|bitch
сука2|"шлюха"|slut
суки1|"самки собаки"|bitches
суки2|"шлюхи"|sluts
сумка1|для вещей|bag
сумка2|в организме|pouch
сумма1|"результат сложения"|sum
сумма2|денег|amount
суперЭВМ1|"суперкомпьютер"|supercomputer
суперЭВМ2|"суперкомпьютеры"|supercomputers
